,VOT,numWords,SCRIND,SCROUTD,TGTIND,TGTOUTD
270,1,15,0,21,104,4
271,1,122,0,32,106,28
272,1,116,125,115,83,70
273,1,24,0,54,124,60
274,1,0,2,137,31,49
275,1,21,0,11,38,0
276,1,6,0,35,339,175
277,-1,16,0,1,92,0
278,1,14,66,19,104,2
279,1,86,0,3,177,130
280,1,16,98,35,30,0
281,1,1,0,42,154,216
282,-1,284,0,11,85,43
283,1,18,189,63,184,79
284,1,0,18,860,34,4
285,1,10,90,18,75,2
286,1,16,88,48,132,50
287,1,1,41,93,130,24
288,1,8,178,249,221,210
289,1,71,154,318,147,95
290,0,26,0,197,103,9
291,-1,48,79,186,59,8
292,1,70,72,47,43,18
293,1,76,90,28,131,0
294,-1,5,0,16,77,19
295,1,13,0,42,112,147
296,1,3,351,522,128,71
297,0,58,0,117,186,63
298,1,13,0,10,137,5
299,-1,3,0,8,16,0
300,1,21,0,197,103,9
301,1,9,84,190,68,0
302,1,19,74,201,156,134
303,1,6,277,265,165,274
304,1,33,0,10,116,8
305,0,17,38,86,63,0
306,1,15,92,101,120,18
307,1,2,72,561,375,8
308,-1,17,0,13,150,53
309,1,40,39,41,51,0
310,1,20,47,188,72,54
311,1,27,34,41,22,26
312,1,51,147,596,107,18
313,-1,56,96,145,66,0
314,1,5,82,318,39,12
315,1,12,318,1101,55,2
316,1,5,0,24,485,18
317,1,100,0,48,85,93
318,1,16,0,30,172,31
319,1,7,0,19,30,5
320,1,9,53,320,42,7
321,1,2,28,126,48,3
322,1,37,0,13,64,145
323,1,10,112,65,33,0
324,-1,29,152,239,88,28
325,0,96,70,23,162,56
326,1,48,0,68,72,14
327,1,19,89,74,83,18
328,1,1,20,167,88,48
329,1,9,80,431,146,17
330,1,122,117,115,72,26
331,1,38,128,220,164,660
332,1,18,189,82,149,81
333,0,35,63,37,165,30
334,-1,9,63,114,57,15
335,1,65,210,190,74,0
336,1,10,61,212,67,14
337,0,206,47,67,117,15
338,0,48,139,152,87,13
339,1,51,116,110,379,31
340,1,0,0,61,37,69
341,-1,52,96,390,188,7
342,1,43,0,428,194,124
343,1,23,21,71,61,10
344,1,8,72,561,109,68
345,1,7,40,89,49,53
346,1,24,0,22,117,127
347,1,24,141,100,119,33
348,1,3,55,420,45,0
349,-1,91,104,103,99,21
350,1,1,30,936,94,5
351,1,7,86,190,42,0
352,1,16,91,248,76,110
353,1,26,0,78,57,2
354,1,44,63,182,89,22
355,-1,83,23,50,71,0
356,1,3,0,2,93,156
357,1,60,47,178,142,41
358,1,7,38,38,224,207
359,1,79,0,57,68,61
360,1,0,30,237,13,23
361,1,7,26,28,179,43
362,1,4,0,40,167,1
363,1,13,318,1101,95,26
364,1,115,159,17,138,5
365,-1,44,165,393,64,95
366,1,13,80,50,59,91
367,-1,30,68,84,8,0
368,1,9,86,190,76,1
369,1,30,264,241,60,5
370,-1,30,0,19,518,6
371,0,26,83,18,56,0
372,1,1,109,40,74,14
373,0,6,72,32,102,33
374,-1,6,19,197,14,0
375,1,19,0,40,23,63
376,1,69,0,22,139,89
377,1,31,0,154,42,0
378,1,6,49,386,88,29
379,1,12,8,10,227,472
380,1,31,43,166,15,4
381,-1,7,534,40,4,7
382,1,32,57,8,284,21
383,1,6,47,178,18,11
384,-1,6,53,328,95,9
385,1,1,47,178,38,15
386,1,0,0,54,36,3
387,-1,9,139,65,20,4
388,-1,60,47,41,116,59
389,1,11,107,257,69,9
390,1,5,109,69,167,1
391,1,34,145,253,189,75
392,-1,41,0,44,77,3
393,-1,15,0,54,12,1
394,1,6,47,67,59,11
395,1,40,30,72,324,102
396,1,7,64,36,106,98
397,1,37,0,110,139,10
398,1,18,106,126,39,19
399,1,8,0,25,65,34
400,1,56,40,98,78,47
401,-1,16,38,115,83,0
402,1,3,0,349,49,439
403,-1,11,11,39,130,185
404,1,16,115,43,102,5
405,-1,13,0,197,14,0
406,1,119,0,39,304,60
407,1,50,147,596,63,25
408,1,1,11,17,165,274
409,1,60,54,28,96,390
410,1,10,0,99,73,81
411,0,4,30,936,42,0
412,1,6,152,239,204,54
413,1,1,92,41,54,13
414,-1,3,162,350,31,0
415,-1,31,0,40,97,164
416,1,2,117,94,167,1
417,1,7,356,404,116,110
418,-1,19,0,48,69,7
419,1,6,0,31,85,13
420,1,1,3,11,3,1
421,1,78,65,75,122,0
422,1,62,0,140,90,0
423,1,8,47,5,39,1
424,1,3,0,294,89,22
425,1,5,0,124,100,11
426,1,6,211,497,62,3
427,1,4,54,12,148,148
428,-1,2,149,81,94,0
429,1,8,40,397,67,106
430,1,31,48,107,89,22
431,1,12,0,62,103,11
432,1,47,444,195,100,15
433,1,6,50,106,25,1
434,1,5,64,43,246,33
435,1,3,0,349,81,93
436,1,6,49,439,54,1
437,1,10,126,19,125,27
438,-1,15,0,8,195,32
439,1,5,0,103,55,25
440,-1,8,0,21,63,0
441,1,17,29,281,47,125
442,0,79,0,2,60,212
443,1,3,57,209,75,33
444,1,12,120,134,42,3
445,1,27,0,173,85,26
446,1,36,0,8,102,5
447,1,7,0,50,68,26
448,-1,44,22,47,162,56
449,1,15,142,147,91,41
450,1,5,30,110,26,3
451,1,52,139,89,205,0
452,1,10,149,81,72,14
453,1,5,0,103,79,126
454,1,3,185,250,80,50
455,1,13,0,9,726,206
456,1,8,0,51,72,0
457,1,18,26,80,60,61
458,1,6,43,519,61,48
459,1,100,97,157,17,0
460,1,31,0,3,83,77
461,-1,51,0,74,6,88
462,1,35,0,4,97,4
463,0,82,99,75,185,9
464,0,75,147,596,79,186
465,1,2,130,185,67,77
466,1,4,277,265,102,26
467,-1,21,14,50,140,114
468,1,6,0,18,138,5
469,1,7,0,84,80,12
470,-1,59,56,40,133,1
471,-1,29,72,343,47,1
472,1,52,92,196,184,79
473,-1,32,185,76,81,1
474,1,9,0,134,135,3
475,-1,20,0,40,183,44
476,1,6,0,35,176,45
477,1,7,45,240,17,1
478,1,4,50,2,28,0
479,1,68,22,312,304,60
480,1,5,54,178,50,6
481,1,7,0,58,136,2
482,-1,83,76,230,40,0
483,1,1,30,936,35,55
484,1,4,0,2,68,2
485,1,4,0,39,339,175
486,1,143,65,67,64,15
487,-1,250,0,13,156,160
488,-1,0,0,926,220,28
489,-1,36,127,53,155,79
490,1,70,0,1,114,3
491,1,152,89,12,116,59
492,1,9,0,99,48,1
493,1,9,0,2,167,1
494,1,47,80,66,356,404
495,1,4,0,17,42,140
496,-1,5,33,44,30,0
497,1,4,73,106,63,56
498,1,2,46,347,36,19
499,1,56,86,81,44,2
500,1,47,0,2,159,19
501,1,6,20,167,40,13
502,1,15,0,27,73,66
503,1,23,84,322,246,33
504,1,48,0,1,78,65
505,1,7,28,131,55,0
506,1,25,0,104,40,4
507,1,11,30,25,192,237
508,1,19,59,266,116,8
509,1,30,356,404,72,79
510,1,0,18,43,60,29
511,-1,1,0,1,100,16
512,0,17,53,328,83,40
513,1,8,145,253,73,81
514,-1,58,145,253,135,29
515,-1,22,0,45,20,167
516,1,0,0,14,16,31
517,-1,60,0,11,85,334
518,1,29,181,153,188,7
519,1,34,150,48,190,61
520,1,17,44,79,87,15
521,1,14,80,53,65,0
522,1,18,0,52,50,10
523,1,1,25,18,66,1
524,1,54,147,596,128,173
525,1,1,0,54,324,102
526,1,8,0,44,216,47
527,-1,59,0,61,13,1
528,1,1,23,76,28,219
529,1,3,92,140,53,9
530,1,15,104,13,135,147
531,1,3,0,19,726,206
532,1,13,46,22,491,22
533,1,1,0,100,5,9
534,1,15,72,343,55,3
535,1,19,89,72,375,8
536,1,7,0,108,82,81
537,1,13,0,122,122,33
538,1,16,44,496,149,28
539,1,41,106,98,127,53
540,-1,61,0,152,55,10
541,1,1,0,39,162,350
542,-1,17,86,33,23,3
543,1,1,212,48,56,54
544,0,18,0,65,274,29
545,1,9,96,268,35,46
546,1,9,0,144,67,6
547,-1,204,444,195,8,1
548,1,9,39,59,123,31
549,-1,66,74,372,185,9
550,1,1,0,68,46,75
551,1,4,60,296,77,59
552,0,20,22,113,128,156
553,1,28,0,70,62,17
554,1,75,140,19,339,175
555,1,2,9,6,67,77
556,1,54,94,207,89,59
557,-1,16,0,40,43,1
558,1,1,22,83,82,318
559,1,21,0,4,23,50
560,-1,13,58,122,58,0
561,1,40,0,176,71,18
562,-1,43,169,79,196,0
563,1,9,0,428,144,75
564,1,37,65,55,172,22
565,-1,11,0,81,15,0
566,-1,8,0,75,88,28
567,1,8,63,182,90,0
568,1,18,0,10,25,83
569,1,0,39,239,31,79
570,0,64,55,420,19,0
571,1,5,11,17,73,4
572,1,131,107,39,188,26
573,1,28,108,116,82,20
574,1,0,0,926,92,140
575,1,1,0,1,207,44
576,1,11,69,19,85,40
577,1,9,0,32,76,255
578,1,5,202,210,518,6
579,-1,0,20,314,52,168
580,1,30,117,348,100,1
581,0,24,43,519,119,35
582,1,6,0,84,64,86
583,-1,19,121,143,29,0
584,1,1,149,590,57,1
585,-1,177,0,4,85,1
586,1,27,16,84,156,134
587,-1,19,54,289,199,455
588,1,6,0,31,167,1
589,1,15,164,660,42,2
590,1,8,24,42,36,3
591,-1,36,0,116,107,12
592,1,8,54,289,40,6
593,1,2,37,38,167,1
594,1,9,30,7,94,36
595,1,27,93,156,54,65
596,1,5,51,190,47,5
597,1,10,97,260,72,133
598,1,3,108,74,32,11
599,1,41,74,26,75,28
600,1,3,0,1,39,3
601,1,19,0,108,96,165
602,1,33,0,21,94,0
603,1,6,0,115,64,15
604,1,8,0,119,130,5
605,1,24,0,1,118,31
606,1,5,53,67,61,58
607,1,3,0,154,47,12
608,1,37,112,109,95,14
609,-1,22,57,302,156,160
610,1,74,0,1,491,22
611,1,22,0,51,82,13
612,1,21,0,256,79,10
613,1,1,0,63,324,102
614,1,18,0,145,237,75
615,1,17,96,165,84,0
616,1,70,168,92,120,83
617,1,13,277,217,107,257
618,1,15,0,110,104,23
619,-1,119,0,31,8,0
620,-1,10,0,96,284,21
621,1,24,0,9,86,17
622,-1,5,0,68,102,15
623,1,17,76,255,82,44
624,1,5,89,90,83,44
625,1,10,164,660,69,19
626,1,4,227,472,189,27
627,1,3,64,93,28,23
628,1,0,67,730,234,42
629,-1,7,116,110,85,51
630,1,9,227,472,101,24
631,1,5,47,374,122,36
632,1,30,134,70,518,6
633,1,9,65,397,164,27
634,1,6,34,43,73,106
635,1,34,38,9,25,21
636,1,10,71,34,152,25
637,1,42,169,48,119,38
638,-1,83,159,17,196,0
639,-1,3,0,7,52,168
640,1,7,0,178,13,23
641,0,52,43,519,156,371
642,1,69,86,190,85,13
643,1,5,49,386,72,79
644,-1,28,9,91,9,0
645,-1,6,0,54,14,9
646,-1,11,0,10,56,35
647,1,3,142,147,74,49
648,1,1,0,65,83,1
649,-1,82,0,10,63,8
650,1,8,139,65,113,14
651,-1,117,136,190,27,1
652,0,21,76,255,141,88
653,-1,117,0,5,156,134
654,-1,23,0,56,223,105
655,1,81,0,31,82,21
656,1,7,0,17,68,28
657,-1,17,150,124,12,6
658,1,22,53,41,65,59
659,1,31,64,19,219,6
660,1,53,0,30,53,3
661,1,17,0,4,87,2
662,1,2,81,173,180,52
663,-1,10,39,253,9,0
664,1,1,0,6,210,94
665,-1,171,0,31,51,1
666,1,33,54,17,79,200
667,-1,56,0,35,44,79
668,-1,16,7,12,30,0
669,1,15,0,35,108,14
670,-1,40,4,65,356,144
671,1,21,93,17,54,20
672,1,12,23,30,97,22
673,-1,38,25,18,58,38
674,1,5,0,41,304,60
675,1,0,0,926,114,32
676,1,10,34,97,150,124
677,1,15,0,124,82,13
678,-1,25,12,166,77,19
679,1,2,202,210,90,0
680,1,5,0,29,54,289
681,1,111,139,89,199,455
682,1,6,57,153,92,4
683,1,4,74,372,161,263
684,1,4,156,371,88,12
685,1,15,115,206,80,3
686,1,15,0,64,94,36
687,1,5,116,59,61,48
688,1,9,148,148,185,250
689,1,18,356,404,165,30
690,1,4,11,18,200,48
691,1,13,0,34,191,68
692,1,1,56,74,88,13
693,1,12,0,50,74,41
694,1,3,199,455,726,206
695,1,1,13,76,13,8
696,1,46,0,45,178,41
697,1,30,80,86,110,0
698,-1,76,0,3,113,14
699,1,28,147,596,83,50
700,1,22,0,37,286,143
701,-1,23,0,158,226,54
702,1,53,77,59,51,0
703,-1,16,0,7,13,3
704,1,36,108,116,128,71
705,1,1,0,22,30,72
706,1,6,84,322,117,52
707,1,6,168,311,107,25
708,1,6,65,59,139,64
709,1,8,0,115,139,58
710,0,199,0,13,135,45
711,1,9,30,72,51,23
712,1,3,74,50,162,350
713,0,23,113,293,58,22
714,1,8,77,133,88,45
715,-1,37,190,270,16,0
716,1,1,0,45,286,143
717,1,51,160,236,89,8
718,1,6,132,50,64,36
719,-1,125,0,117,50,0
720,1,14,52,9,85,51
721,-1,15,0,29,23,1
722,-1,99,95,37,183,44
723,1,16,0,278,122,36
724,1,28,0,1,57,26
725,0,80,0,24,82,13
726,1,93,0,101,124,10
727,-1,286,95,62,4,0
728,1,8,0,278,113,0
729,1,23,0,3,55,0
730,1,27,96,165,14,0
731,-1,94,0,107,110,1
732,1,14,110,101,107,8
733,1,3,0,294,375,8
734,1,27,72,16,356,404
735,1,25,0,40,79,29
736,1,13,61,145,56,4
737,-1,86,0,31,191,38
738,1,26,0,6,61,24
739,1,43,164,660,86,61
740,1,12,318,1101,100,16
741,1,82,0,30,100,22
742,1,0,180,222,189,27
743,1,59,68,30,44,10
744,1,3,0,125,77,6
745,1,58,0,92,190,61
746,-1,36,104,103,24,0
747,-1,14,57,302,54,34
748,-1,20,0,40,117,94
749,1,45,104,103,351,522
750,1,7,25,83,35,12
751,-1,27,65,51,65,7
752,1,8,0,135,120,58
753,-1,54,147,596,62,19
754,0,39,72,561,187,328
755,1,62,63,75,61,0
756,1,3,35,304,48,5
757,-1,199,117,127,168,92
758,1,3,28,126,28,131
759,1,1,32,114,29,50
760,-1,32,0,52,27,1
761,-1,93,96,390,160,39
762,1,15,149,81,68,0
763,1,68,0,115,42,0
764,0,21,93,120,40,0
765,1,17,147,596,132,142
766,1,6,0,349,179,20
767,1,25,0,16,93,51
768,-1,27,0,278,23,3
769,1,15,0,62,91,0
770,1,2,0,21,60,29
771,0,16,0,63,41,40
772,1,15,0,70,104,4
773,1,14,106,126,131,22
774,-1,39,0,4,23,4
775,-1,75,485,18,161,151
776,1,81,97,31,102,5
777,1,3,72,561,98,57
778,-1,46,82,318,39,3
779,-1,23,96,165,11,8
780,1,10,109,69,109,1
781,-1,12,121,143,77,21
782,1,4,55,23,46,0
783,1,5,61,212,36,6
784,1,45,356,404,93,25
785,1,3,0,4,150,35
786,0,8,52,168,60,5
787,1,2,0,75,102,5
788,1,15,124,60,173,112
789,1,4,227,472,78,65
790,1,7,0,19,77,6
791,-1,41,83,82,46,0
792,-1,52,61,9,11,4
793,1,4,86,191,67,29
794,1,15,92,140,65,8
795,-1,6,152,239,51,19
796,1,5,73,139,255,231
797,1,32,45,240,53,84
798,-1,27,0,12,138,21
799,-1,120,73,11,17,0
800,1,0,0,926,51,3
801,1,31,142,147,97,157
802,1,7,40,397,59,22
803,-1,12,0,30,139,64
804,0,18,0,110,60,26
805,-1,65,339,175,6,16
806,1,88,97,77,185,110
807,1,6,67,730,147,38
808,0,47,54,65,16,0
809,1,4,262,110,57,15
810,0,50,107,173,22,34
811,-1,119,78,152,34,0
812,1,34,339,175,136,34
813,1,7,128,238,195,32
814,-1,30,78,298,85,4
815,-1,67,54,58,149,28
816,-1,14,0,150,75,0
817,1,0,0,313,202,210
818,0,203,91,5,55,3
819,1,5,277,265,116,11
820,1,1,43,519,67,64
821,1,6,221,210,80,22
822,1,0,0,926,54,58
823,-1,22,28,218,94,36
824,1,2,67,730,104,23
825,-1,84,34,89,304,60
826,0,138,0,50,284,21
827,1,10,28,36,80,1
828,1,24,60,296,139,65
829,1,86,21,46,62,72
830,1,27,56,74,444,195
831,0,16,112,147,237,75
832,1,4,0,11,72,251
833,-1,42,30,237,55,71
834,1,17,0,2,37,29
835,1,5,0,110,102,5
836,1,1,39,253,76,119
837,1,13,0,313,485,18
838,0,12,0,42,20,0
839,1,5,0,40,162,8
840,1,7,40,40,49,53
841,-1,35,135,147,54,0
842,1,31,0,7,284,21
843,1,5,36,77,100,142
844,1,11,33,116,125,27
845,1,2,0,26,250,48
846,1,6,51,190,92,39
847,1,22,83,119,534,40
848,0,15,52,81,45,13
849,1,2,26,14,304,60
850,1,2,29,139,66,6
851,1,51,0,171,117,127
852,1,1,17,100,30,34
853,1,3,48,94,135,45
854,0,26,0,134,42,32
855,1,19,15,24,40,3
856,1,8,89,74,207,44
857,0,31,0,126,57,48
858,-1,6,12,166,10,9
859,1,3,55,107,138,248
860,1,1,15,49,35,21
861,1,21,0,9,86,13
862,-1,76,95,37,12,0
863,1,15,0,15,94,40
864,-1,72,136,190,150,35
865,1,17,26,98,86,61
866,1,5,73,36,80,1
867,0,15,0,13,220,28
868,1,131,0,20,154,318
869,1,13,75,28,189,0
870,1,45,0,2,133,1
871,-1,27,65,54,13,0
872,-1,31,144,75,21,0
873,1,15,130,185,726,206
874,1,116,0,9,16,2
875,-1,26,84,322,58,0
876,1,0,0,926,84,55
877,1,4,0,18,237,75
878,1,1,0,11,40,3
879,1,39,89,74,72,0
880,1,1,0,14,12,1
881,1,4,0,200,339,175
882,1,4,0,11,48,0
883,0,32,100,140,31,2
884,-1,116,0,127,143,11
885,1,35,85,72,485,18
886,-1,3,47,102,38,0
887,1,3,65,397,94,18
888,-1,32,163,114,32,0
889,1,23,0,66,119,31
890,1,20,114,79,114,3
891,-1,52,79,126,86,0
892,-1,8,0,191,518,6
893,1,5,0,74,89,45
894,1,11,0,8,160,18
895,1,5,0,2,190,61
896,1,9,165,393,135,3
897,1,38,0,173,132,4
898,-1,16,194,124,175,96
899,1,1,0,44,13,49
900,-1,20,53,320,276,32
901,1,28,164,660,132,8
902,1,14,0,127,56,11
903,-1,27,175,96,77,19
904,1,22,96,390,534,40
905,1,5,57,302,100,1
906,1,22,101,48,216,259
907,1,23,0,29,59,266
908,1,32,17,66,57,0
909,1,15,0,57,45,17
910,1,12,0,2,112,109
911,-1,106,0,3,66,2
912,1,1,86,44,180,300
913,1,1,0,123,55,53
914,-1,20,92,147,19,0
915,1,12,74,282,87,9
916,0,99,56,13,57,190
917,0,27,0,11,356,404
918,-1,26,0,229,379,31
919,1,30,71,81,172,3
920,1,3,79,200,67,106
921,1,26,128,156,129,2
922,1,43,59,266,133,28
923,1,19,129,167,82,20
924,1,81,84,201,30,2
925,1,25,189,27,95,45
926,-1,13,109,44,6,0
927,-1,41,0,4,93,40
928,1,37,128,156,229,99
929,1,3,0,200,86,190
930,-1,8,16,27,20,1
931,-1,14,72,561,75,2
932,1,54,0,7,61,212
933,1,63,93,40,339,175
934,1,5,102,231,152,25
935,1,67,102,175,92,12
936,1,1,48,199,90,90
937,-1,15,0,10,37,29
938,-1,74,160,236,30,0
939,1,16,0,244,137,72
940,1,6,84,322,41,3
941,1,27,0,44,29,58
942,1,23,37,20,485,18
943,-1,80,0,1,234,42
944,1,1,47,69,47,374
945,-1,84,89,68,97,77
946,-1,5,0,20,159,27
947,1,126,164,660,120,83
948,0,87,112,147,32,0
949,1,24,151,81,156,371
950,1,17,0,428,150,124
951,1,8,29,58,72,561
952,1,49,50,44,117,348
953,1,16,178,249,149,99
954,0,36,55,420,21,1
955,0,16,0,61,35,1
956,1,17,64,36,124,60
957,1,23,0,11,135,45
958,1,30,36,19,3,3
959,1,16,0,34,117,52
960,-1,13,12,166,12,0
961,0,21,14,50,65,3
962,1,1,78,298,20,0
963,1,38,141,88,136,34
964,1,11,189,82,114,21
965,1,36,141,88,185,42
966,0,7,0,87,48,6
967,1,10,63,26,174,45
968,1,0,0,94,47,47
969,0,81,95,156,139,65
970,1,1,57,302,180,300
971,0,38,0,30,150,22
972,-1,40,147,596,444,195
973,-1,6,85,162,56,40
974,1,21,0,124,100,11
975,1,5,49,386,43,44
976,1,128,356,144,82,0
977,1,29,0,37,58,131
978,1,14,47,188,51,2
